"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
4.33643491867437,2.81565186859449,2.71683251088053,4.87883165766634,4.18616941655012,4.35010204776455,2.59732063806997,3.51338045996194,3.81893654042757,3.07886761891263,5.7022560095666,4.45319395039831,3.77116666357104,5.79098987704036,6.71988717971785,3.09049150864095,4.12925521244021,2.7942991388372,1.9213312194634,4.64784006793064,3.89241804225638,5.66298754562203
4.38045475791378,2.85731040675575,2.88939849849188,3.91880720952026,4.29458738743205,4.43929417431522,3.04143485078828,3.83909571900942,3.91751835955463,2.93426412757541,5.69427399149781,4.26507254508219,3.67333790282841,5.85032028419686,7.06733529692427,3.08828361927481,4.3481805471799,2.74809085774493,1.53782657728871,4.46144574908225,3.94598063419207,5.71741913333725
4.40447467121676,2.80297377292419,2.51078136818603,3.93479674923975,4.45070029298169,4.44407404858195,2.9102886999891,3.77329729646534,4.07945871672536,3.10849238315085,5.739614353963,4.57809467370674,3.6193839413012,5.68359169148142,6.80016407531688,3.16382555256375,4.25201846212757,2.58857688627463,1.8514044298627,4.41928665831724,3.96515870810326,5.46272650693723
4.36997494021598,2.74090567372161,2.69411664138747,4.68590157558478,4.35626242238817,4.34511613701534,2.75840641850954,3.8372510722796,4.16391126576908,2.8927139962431,5.68498943526977,4.27704067096871,3.75967493119958,5.81185023362129,6.94660095721156,3.09777285494931,4.32322396407038,2.62502111216513,1.80240863556745,4.60688738254926,3.90706037095102,5.83385807387054
4.30316328853196,2.74469814459806,2.78095031651667,4.42327670583012,4.06156178491831,4.33242361201159,2.80429816732775,3.89957849603536,4.11280793391215,2.72524952764844,5.74944151285511,4.58156312790652,3.66053870445069,5.70874359858913,6.55589381406743,3.18577936345466,4.30743697498265,2.73677837872369,1.84817274707429,4.49917896780245,3.87009712413974,5.44454154750044
4.36887914907419,2.93592192948007,3.17776228654848,4.74101737502753,4.52443576291052,4.35338658450579,2.47267275775039,3.65866231450456,3.98776484456127,2.72436023568575,5.72411785061953,4.12056169645549,3.70137024637097,5.70472988357803,6.63094793628887,3.18359923039483,3.78780408258128,2.48050059688479,1.73381338397867,4.64095223329581,3.91301450070916,5.71868413979114
4.35590857415431,3.07229206094767,2.70336161679264,4.18299541954603,4.29651791143757,4.44109191097062,2.87175703680864,3.56220028132229,3.98800818163051,2.85468227122003,5.74396510434318,4.46430978053271,3.52023538729287,5.87585623987938,6.8899640187615,3.16062414533505,3.84926249480177,2.56717068592871,1.52188114097579,4.75249562905617,3.94876667157095,5.71813906577927
4.35446451741295,3.07204783947478,3.2421429414632,4.48062682373096,4.6044543791264,4.43299614562953,2.4749957104421,3.68164567693858,4.08384228546079,2.75973250211166,5.7648023945972,4.37021929811855,3.67558827859754,5.73342364965441,6.52149078525173,3.13869058615315,3.95731473779119,2.85024857627822,1.82304688359837,4.38092026834797,3.83522552636933,5.45176302820037
4.37784015508455,2.94278351641667,3.16244466031762,3.85143377868277,4.61419461928205,4.3356470042596,2.58822480928304,4.01576470704599,4.23073663643407,2.82290674798669,5.78951001709199,4.33596412601332,3.74329974570109,5.74346794511502,6.65654080432788,3.19250350328925,3.81636062551256,2.80219418694074,1.55325866454523,4.38341137066225,3.85378282570476,5.85159737353744
4.38820749573126,3.20321502551355,2.79039629685366,4.61231278330225,4.48462255287201,4.5627729885926,2.96441372734455,3.70267453019644,3.70514875503248,3.04804645950347,5.79555877714442,4.71368295269455,3.68096198591964,5.75286475264767,6.6810617325964,3.33793830220602,3.92663447974087,2.6599249670107,1.72174460151502,4.42916898736038,3.91888784244035,5.82900408199136
4.43525136054435,3.01751942027274,3.23330460348428,4.15861878084674,4.4249795694022,4.4488789978675,3.05740020417087,3.54478475295656,3.8269426864306,2.84774224930288,5.79352693184491,4.45320974162508,3.64655941420351,5.72221969800293,6.62567760321336,3.25478883302006,3.78803592244092,2.51213160489872,1.44456832034394,4.64586490505589,3.84915543767935,5.5826947758926
4.3175090986188,2.85785114861141,2.95014601854358,3.85275953333656,4.41637067505194,4.42212813589271,2.8041870413617,3.74415385075215,4.16784022578325,2.84789989493629,5.67637600151255,4.19772588065203,3.77774847836096,5.79411959741286,6.94531744967656,3.29652951730707,4.08770191242035,2.46926354207628,1.64238531863667,4.38906286035896,3.90053073314902,6.06415473502422
4.36623386387254,3.1094441716537,2.66470332611619,3.81735882167416,4.11200927337507,4.43114175343592,3.12826466993961,3.61253609907817,4.00811684685524,3.08043955331701,5.75358627167323,4.2012269189437,3.59770566951428,5.75884182910943,6.59545559731771,3.28602438010227,3.72689808858575,2.85071366540719,1.64374297485845,4.50087217521801,3.85641259873674,5.68628876738289
4.43771776533301,2.87946681112512,2.84517994795163,4.32647125969548,4.2945276471826,4.40555641536924,3.0007492806966,3.91074412018418,4.14824249167691,2.70980687679268,5.68153124482502,4.36963920909537,3.62584138294329,5.74602765752186,6.70422895559473,3.31934722398751,3.88343067621597,2.86336867619651,1.5920910098247,4.5544045712801,3.88865613180517,5.47782481611612
4.33725013570812,2.98762943507898,3.32368543709736,4.00103152836549,4.33638609755088,4.38755433284117,2.44984619140929,3.8304735152798,3.70374789168746,3.0560963955995,5.68825181983799,4.51082197123518,3.7379606386849,5.83227959210289,6.63430602983262,3.20389554992082,4.173477453791,2.75024937708561,1.71934983500403,4.72671600192036,3.84350594876199,5.48743644721605
4.2819801303704,2.87218921732766,3.08295428013661,4.21796484106162,4.21411171639181,4.33652387463553,2.39305348896301,3.90897815309722,4.02310093433764,3.00986574442526,5.77205906104104,4.10745219614338,3.60744677187567,5.91400665005484,6.68119368742102,3.16063807028101,4.26854363102193,2.57839364331365,1.6212317425456,4.48733869911771,3.94222203256321,5.68795616935404
4.42251107709911,2.81691298422585,2.73145141517701,4.70943349989845,4.55383072302593,4.28207174135368,3.13318688471997,3.59357477312009,4.04333150744497,2.75446914065041,5.75340712589667,4.39287289809713,3.62631297402913,5.805120836048,6.95036856173317,3.11474398780809,4.01320187641943,2.58721557224192,1.55291652081418,4.48437104530879,3.89920589856414,5.59961728587208
