"","ARCA","CAHI","EROD","GITE","GOBE","GOPU","HAOD","HYGL","HYPO","MEDI","PEAI","PEDU","PLDE","POCA","POLE","PTGA","STPA","TRCY","TROR","VECY","VERO","WAAC"
"1",3.04892276087147,2.36512985798778,1.36119835550453,3.7477390370922,2.81956034034981,3.23812659300809,1.90495416509568,2.8123282979475,4.03794259442858,1.94799785012233,4.40231994371656,3.43980517556707,2.60743621038116,4.88787129237232,5.74119242668953,1.73065665932474,2.81805512557982,1.64091432775129,1.43988199758909,2.26579829124853,2.21445440994428,4.55349614273611
"2",3.10229176177634,2.09624869479482,1.80788051873699,3.14700099589184,2.71499342495882,3.32047768731906,1.74019571405597,2.95355592825954,3.8800549238159,1.90550477227071,4.38172483338928,3.30886978376186,2.51155812633789,4.92839653753808,5.35691469944829,1.98182240016093,2.82964117161135,1.46280607184313,1.64948282771153,2.16996860509913,2.21934303131074,4.49604514472665
"3",3.11307365262896,1.89647467752906,1.76001454474462,3.22212568057288,3.18338662920829,3.47583698121335,1.63772262883511,2.73808108310514,4.01386833904143,1.87599002499776,4.39361990296791,3.26067705011578,2.6579925831358,4.90797746402178,5.2245315424727,1.79867045402463,2.7502291477523,1.71931049312973,1.62398597347877,2.10556178260891,2.23424657292744,4.68629717480315
"4",3.07436976893999,1.92278352448531,1.9230720169615,3.17018025272822,2.69992018028336,3.49989991320454,1.62974834987446,2.73377051047371,3.79960758029527,1.82261652300938,4.3590187874998,3.10475696516281,2.543029388139,4.87526340230174,5.32691030971641,1.9052926852877,2.65609760754324,1.59609160358616,1.83018158527849,2.20688051004803,2.30255242020469,4.61188528043403
"5",2.98857981857935,1.83342297692026,1.54696599618209,3.04484481226401,2.89250528037315,3.25800648209413,1.97262402998892,2.87116859503858,3.59464257339789,1.77924460354874,4.41244595789332,3.19069368910415,2.5579805340743,4.94519954424734,5.43897479716338,1.94935368043295,2.99168845852154,1.47898067364372,1.73235843735396,2.51820057057346,2.2671793757468,4.40684998523772
"6",3.00671305937568,1.78692945262467,1.7002053804084,3.12259280094193,2.83628640968,3.27008477745349,1.9000062500563,2.97486499087289,3.63149562459923,1.83182431130018,4.4483546486202,3.21040212791003,2.73479115997059,4.96871513133914,5.46589938727336,1.83887960295915,2.77395099322935,1.60356420103914,1.61575978880121,2.41061224450008,2.23153689881289,4.48369897847787
"7",2.97613029087959,2.17749221763908,1.89641332772729,3.62378517696468,2.8173480946235,3.25380041045871,1.76359106859658,2.69399828258944,3.76293469007621,1.95346140102699,4.35775179504078,3.34418933181803,2.7157325922673,4.84396327848586,5.34566111626785,1.8374868801757,3.02191144246535,1.61179562514957,1.79223909319414,2.16799100916925,2.27916877623261,4.30934228628638
"8",3.10154405069174,2.37109037569744,1.95076049632487,3.6028957757163,3.01272311529462,3.41707626189907,2.03873626622832,2.658362687892,3.55711434093661,1.64285468064552,4.39214203651008,3.11586276420009,2.72507460681517,4.78518228819315,5.62961722487178,1.8401148692046,3.0355420382867,1.94578175629228,1.32810585954849,2.07299705367662,2.2881017450329,4.71909438720478
"9",3.09844815694351,2.16035879834537,1.54520759499521,3.70351588156258,3.06343954505616,3.46844155369948,1.99647575262967,2.54757485566754,3.4676758537518,1.66561981608206,4.41520658566806,3.25979118912355,2.68216884872525,4.93299313484497,5.48181671312521,1.84567998470021,2.61848003815813,1.49496061377266,1.96112209188226,2.18180004212163,2.23985752609366,4.34673432442327
"10",2.97184070120411,2.00503011209728,1.71995971438671,2.77262370944587,2.77450849962644,3.34614800481694,1.70440420567288,2.96338212023454,4.03570661332691,2.02122967211664,4.39245440665583,3.48016549861838,2.59259030132372,4.78759904769827,5.34482586168129,1.99312970053059,2.80125165685927,1.68240966770231,1.58625105470744,2.45040531064066,2.30684596106281,4.37490146324505
"11",3.04481295197349,1.8169178683505,1.26449762006138,3.00121679132974,3.04739116360144,3.46006466863279,1.50962433121789,2.95139373179308,3.58677174086594,1.79494398279808,4.39167014531305,2.89299587804539,2.77443818105167,4.94096956494954,5.70270761342174,1.77307188521019,2.80943159765504,1.95722960001337,1.29954619487069,2.08492211578163,2.24975237289598,4.25935539574501
"12",2.98962192006477,1.93491559989818,1.68286123764817,3.2693274681571,3.03501305416744,3.25444502074139,2.05269865008131,2.66058675280158,3.73736802827734,1.98789228471744,4.44065193594806,3.15273899535068,2.63802570592732,4.96061676755014,5.65277181462633,1.8912406883883,2.7860331183786,1.4376465084364,1.94057167525548,2.19530148631651,2.30226747550821,4.76238901133859
"13",3.01214053084005,2.04602056393985,1.5261559465139,3.23091015227378,2.98664809703555,3.25479839196307,2.09389033396529,3.03532140589541,3.97726661163769,1.8059611118286,4.4309163937914,3.48936443886265,2.64798662334748,5.018442233494,5.70144803883708,1.76594117033474,2.5563843212334,1.26257602494438,1.55866348536297,2.32942176548458,2.25021312089534,4.43967893434566
"14",3.00140330042929,2.14690526394957,1.78606915526517,3.00188994881965,3.17711296985712,3.39927145878744,1.98166313501627,2.55368912400253,3.66429788890381,1.8428239744465,4.39658365387528,3.16609231091783,2.70585409713809,4.95514974684924,5.26802705501245,1.77833719097495,2.9909101039098,1.35401268090243,1.66693807435116,2.40544251924262,2.24453104032852,4.82747393158589
"15",3.11890220331705,1.77064077832608,1.91088744453164,3.08599025650558,2.81439208731917,3.404966268829,1.67500037666412,2.71829085331325,3.63219013201919,1.99162950815675,4.42747883990964,3.33201724830661,2.58035989285182,4.94301388899521,5.37308145427368,1.8138623698504,2.74081963523277,1.60255260951925,1.59933733508405,2.47260731250659,2.29689090227832,4.64421363381141
"16",3.01298653770072,1.9210755751056,1.68447847345841,2.85358522221583,3.08477481411427,3.38193288165563,1.74963570454212,2.89180233303124,3.76645680435455,1.88659502827078,4.45050000780096,3.36335016475275,2.6021557268528,5.00382041029597,5.17373901673468,1.7707880192949,2.83790413328639,1.7378455793728,1.4770839320795,2.35992188162805,2.26714501734274,4.54256258692849
"17",3.07739349390187,2.39360578812357,1.64488744845462,3.19169476939959,2.91457309616995,3.3389782738081,2.01383517757158,2.77193311487469,4.03021614009885,1.68844724359731,4.38808399552961,3.12895477777409,2.63441875745699,4.95243735790755,5.32659977107158,1.88649509530908,2.88608944427122,1.71669411605489,1.36789530845503,2.39817656284504,2.26087064119832,4.68783973505259
"18",3.07686242514293,1.79261248821912,1.40026703721475,3.29478160152255,2.89252624574927,3.49622728022433,1.5565800678703,2.99967983926077,3.97211328002902,2.12257106865365,4.37717262290253,3.01398238800555,2.62243033884856,4.84846712644427,5.72922012675274,1.94002994322086,2.85626665026401,1.55128416933918,1.44589376974823,2.29593432597913,2.23159469110672,4.59619028440992
"19",3.06838740347146,1.78531965681246,1.97901341043068,3.29926504592797,2.81899409318531,3.43008946352127,1.91627695300526,2.89060168499104,3.96657704257074,2.05303184579612,4.40163313008124,3.05611861756831,2.78922599022231,4.96041968233109,5.62489890536977,1.87823494603893,2.68880341514386,1.70459448894645,1.43541680762501,2.37963048857385,2.29628842660713,4.37845529198926
"20",3.1300173166072,2.42283521719543,1.71178329418903,3.56777560635679,2.8654839536334,3.31231042090691,1.86756167764012,2.8621471999431,3.83499474186163,2.11175172078307,4.37339740842112,3.40065290469061,2.66170338234701,4.9872028076235,5.68419203566492,1.7962620232088,2.97543688458782,1.3701633508834,1.25839320507767,2.30234962961491,2.25457164248668,4.28012504848027
